model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,flops_saved_cosine,flops_saved_graph,embed_time_s,graph_build_time_s
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,219,structural,60.3775,73.8286,70.3678,0,0,0,110,366,366,46089437184,46089437184,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,220,multi-hop,75.3908,0.0,73.695,0,1,0,129,385,385,50998886400,50998886400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,221,semantic,70.5982,0.0,0.0,0,1,1,130,386,386,51264159744,51264159744,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,222,structural,50.9223,57.1681,57.3257,0,0,0,98,354,354,43116724224,43116724224,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,223,multi-hop,53.6812,0.0,71.556,0,1,0,60,316,316,34356854784,34356854784,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,224,multi-hop,54.3636,78.0068,82.6237,0,0,0,3,212,259,15463612416,23080157184,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,225,structural,57.1493,0.0,55.7246,0,1,0,110,366,366,46089437184,46089437184,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,226,semantic,55.0509,0.0,73.4431,0,1,0,17,273,273,25642745856,25642745856,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,227,semantic,65.032,0.0,0.0,0,1,1,128,384,384,50734301184,50734301184,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,228,structural,103.4621,0.0,0.0,0,1,1,139,395,395,53682585600,53682585600,8.317,0.107
