source_file,k,policy,questions,mean_em,mean_f1
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,8,cosine,200,0.05,0.1211265
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,8,graph,200,0.055,0.1338095
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,8,adaptive,200,0.035,0.12498300000000001
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,10,cosine,200,0.015,0.072519
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,10,graph,200,0.02,0.07731450000000001
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,10,adaptive,200,0.035,0.10144950000000001
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,cosine,200,0.0,0.036683
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,graph,200,0.005,0.034755999999999995
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,adaptive,200,0.01,0.043815999999999994
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,cosine,200,0.0,0.0318625
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,graph,200,0.0,0.023734500000000002
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,adaptive,200,0.005,0.024918
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,cosine,200,0.0,0.022471
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,graph,200,0.0,0.022065
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,adaptive,200,0.0,0.020096999999999997
