source_file,k,policy,baseline,metric,questions,mean_delta,ci_low,ci_high
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,graph,cosine,f1,200,-0.038907500000000005,-0.08528963749999999,0.005906512499999992
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,adaptive,cosine,em,200,-0.02,-0.065,0.025
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,adaptive,cosine,f1,200,-0.020309999999999998,-0.06342442499999999,0.023054612500000005
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,6,graph,cosine,em,200,-0.04,-0.09,0.01
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,6,graph,cosine,f1,200,-0.034619000000000004,-0.08363116250000001,0.013578362499999962
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,6,adaptive,cosine,em,200,-0.02,-0.07,0.03
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,6,adaptive,cosine,f1,200,-0.0250635,-0.075465675,0.025638762499999978
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,8,graph,cosine,em,200,-0.04,-0.08,-0.005
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,8,graph,cosine,f1,200,-0.0465255,-0.08890988749999999,-0.004744837500000032
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,8,adaptive,cosine,em,200,-0.035,-0.08,0.01
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,8,adaptive,cosine,f1,200,-0.024409999999999998,-0.07404208749999999,0.02466632499999998
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,10,graph,cosine,em,200,0.0,-0.03,0.03
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,10,graph,cosine,f1,200,-0.0015384999999999993,-0.0294760625,0.0268886125
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,10,adaptive,cosine,em,200,0.025,-0.01,0.065
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,10,adaptive,cosine,f1,200,0.046586499999999996,0.006888362499999997,0.08649939999999999
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,graph,cosine,em,200,0.005,-0.01,0.02
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,graph,cosine,f1,200,0.0012929999999999997,-0.01906485,0.021949675000000002
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,adaptive,cosine,em,200,0.005,-0.01,0.025
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,adaptive,cosine,f1,200,0.015698499999999997,-0.0081937625,0.040096137500000004
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,graph,cosine,em,200,0.005,0.0,0.015
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,graph,cosine,f1,200,0.004753500000000001,-0.005141462499999999,0.01818302499999999
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,adaptive,cosine,em,200,0.005,0.0,0.015
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,adaptive,cosine,f1,200,0.006821000000000001,-0.0042595875,0.020594849999999998
