split,m,k,policy,query_type,events,prediction_recall,candidate_coverage,mean_target_rank,median_target_rank,mean_candidate_universe,online_update_rate
dev,5,10,two_hop,all,600,0.9283333333333332,0.98,4.901360544217687,4.0,21.016666666666666,0.0
dev,5,10,two_hop,multi-hop,300,0.9333333333333332,0.99,4.946127946127946,4.0,21.566666666666663,0.0
dev,5,10,two_hop,semantic,150,0.98,0.9933333333333332,4.610738255033557,4.0,21.15333333333333,0.0
dev,5,10,two_hop,structural,150,0.8666666666666667,0.9466666666666668,5.112676056338028,3.0,19.78,0.0
dev,5,16,cosine,all,600,0.9083333333333332,1.0,13.755,3.0,1222.0,0.0
dev,5,16,cosine,multi-hop,300,0.9066666666666666,1.0,13.59,3.0,1222.0,0.0
dev,5,16,cosine,semantic,150,0.98,1.0,3.52,2.0,1222.0,0.0
dev,5,16,cosine,structural,150,0.84,1.0,24.32,4.0,1222.0,0.0
dev,5,16,offline,all,600,0.98,0.98,4.520408163265306,4.0,21.016666666666666,0.0
dev,5,16,offline,multi-hop,300,0.99,0.99,4.414141414141414,4.0,21.566666666666663,0.0
dev,5,16,offline,semantic,150,0.9933333333333332,0.9933333333333332,5.624161073825503,5.0,21.15333333333333,0.0
dev,5,16,offline,structural,150,0.9466666666666668,0.9466666666666668,3.584507042253521,3.0,19.78,0.0
dev,5,16,online,all,600,0.98,0.98,4.520408163265306,4.0,21.016666666666666,0.0
dev,5,16,online,multi-hop,300,0.99,0.99,4.414141414141414,4.0,21.566666666666663,0.0
dev,5,16,online,semantic,150,0.9933333333333332,0.9933333333333332,5.624161073825503,5.0,21.15333333333333,0.0
dev,5,16,online,structural,150,0.9466666666666668,0.9466666666666668,3.584507042253521,3.0,19.78,0.0
dev,5,16,semantic_only,all,600,0.8066666666666666,0.8066666666666666,2.7107438016528924,2.0,6.895,0.0
dev,5,16,semantic_only,multi-hop,300,0.7866666666666666,0.7866666666666666,2.7415254237288136,2.0,6.953333333333333,0.0
dev,5,16,semantic_only,semantic,150,0.9466666666666668,0.9466666666666668,2.2464788732394365,2.0,7.013333333333334,0.0
dev,5,16,semantic_only,structural,150,0.7066666666666667,0.7066666666666667,3.2641509433962264,3.0,6.66,0.0
dev,5,16,structure,all,600,0.8133333333333334,0.8133333333333334,3.112704918032787,3.0,7.155,0.0
dev,5,16,structure,multi-hop,300,0.7866666666666666,0.7866666666666666,3.0762711864406778,3.0,7.23,0.0
dev,5,16,structure,semantic,150,0.9466666666666668,0.9466666666666668,3.218309859154929,3.0,7.26,0.0
dev,5,16,structure,structural,150,0.7333333333333333,0.7333333333333333,3.0545454545454547,3.0,6.9,0.0
dev,5,16,two_hop,all,600,0.9483333333333334,0.98,4.901360544217687,4.0,21.016666666666666,0.0
dev,5,16,two_hop,multi-hop,300,0.96,0.99,4.946127946127946,4.0,21.566666666666663,0.0
dev,5,16,two_hop,semantic,150,0.9866666666666668,0.9933333333333332,4.610738255033557,4.0,21.15333333333333,0.0
dev,5,16,two_hop,structural,150,0.8866666666666667,0.9466666666666668,5.112676056338028,3.0,19.78,0.0
dev,10,6,cosine,all,600,0.7833333333333333,1.0,13.755,3.0,1222.0,0.0
dev,10,6,cosine,multi-hop,300,0.77,1.0,13.59,3.0,1222.0,0.0
dev,10,6,cosine,semantic,150,0.9333333333333332,1.0,3.52,2.0,1222.0,0.0
dev,10,6,cosine,structural,150,0.66,1.0,24.32,4.0,1222.0,0.0
dev,10,6,offline,all,600,0.7983333333333333,1.0,4.58,4.0,62.88,0.0
dev,10,6,offline,multi-hop,300,0.8166666666666667,1.0,4.376666666666667,4.0,63.53333333333333,0.0
dev,10,6,offline,semantic,150,0.6733333333333333,1.0,5.866666666666666,5.0,62.973333333333336,0.0
dev,10,6,offline,structural,150,0.8866666666666667,1.0,3.7,3.0,61.48,0.0
dev,10,6,online,all,600,0.7966666666666666,1.0,5.963333333333333,4.0,62.88,0.2033333333333333
dev,10,6,online,multi-hop,300,0.8,1.0,6.376666666666667,4.0,63.53333333333333,0.2
dev,10,6,online,semantic,150,0.8133333333333334,1.0,4.9,4.0,62.973333333333336,0.1866666666666666
dev,10,6,online,structural,150,0.7733333333333333,1.0,6.2,4.0,61.48,0.2266666666666666
dev,10,6,semantic_only,all,600,0.7833333333333333,0.9016666666666666,3.434380776340111,3.0,12.745,0.0
dev,10,6,semantic_only,multi-hop,300,0.77,0.9033333333333332,3.5867158671586714,3.0,12.636666666666668,0.0
dev,10,6,semantic_only,semantic,150,0.9333333333333332,0.9866666666666668,2.554054054054054,2.0,13.213333333333331,0.0
dev,10,6,semantic_only,structural,150,0.66,0.8133333333333334,4.163934426229508,3.0,12.493333333333334,0.0
dev,10,6,structure,all,600,0.8566666666666667,0.905,3.500920810313076,3.0,12.881666666666666,0.0
dev,10,6,structure,multi-hop,300,0.8466666666666667,0.9033333333333332,3.5424354243542435,3.0,12.79,0.0
dev,10,6,structure,semantic,150,0.98,0.9866666666666668,3.3986486486486487,4.0,13.333333333333334,0.0
dev,10,6,structure,structural,150,0.7533333333333333,0.8266666666666667,3.532258064516129,3.0,12.613333333333332,0.0
dev,10,6,two_hop,all,600,0.7816666666666666,1.0,5.718333333333334,4.0,62.88,0.0
dev,10,6,two_hop,multi-hop,300,0.7866666666666666,1.0,6.05,4.0,63.53333333333333,0.0
dev,10,6,two_hop,semantic,150,0.8,1.0,4.9,4.0,62.973333333333336,0.0
dev,10,6,two_hop,structural,150,0.7533333333333333,1.0,5.873333333333333,4.0,61.48,0.0
dev,10,10,cosine,all,600,0.8733333333333333,1.0,13.755,3.0,1222.0,0.0
dev,10,10,cosine,multi-hop,300,0.88,1.0,13.59,3.0,1222.0,0.0
dev,10,10,cosine,semantic,150,0.9733333333333334,1.0,3.52,2.0,1222.0,0.0
dev,10,10,cosine,structural,150,0.76,1.0,24.32,4.0,1222.0,0.0
dev,10,10,offline,all,600,0.9716666666666668,1.0,4.58,4.0,62.88,0.0
dev,10,10,offline,multi-hop,300,0.9766666666666668,1.0,4.376666666666667,4.0,63.53333333333333,0.0
dev,10,10,offline,semantic,150,0.96,1.0,5.866666666666666,5.0,62.973333333333336,0.0
dev,10,10,offline,structural,150,0.9733333333333334,1.0,3.7,3.0,61.48,0.0
dev,10,10,online,all,600,0.9616666666666668,1.0,4.783333333333333,4.0,62.88,0.0383333333333333
dev,10,10,online,multi-hop,300,0.96,1.0,4.623333333333333,4.0,63.53333333333333,0.04
dev,10,10,online,semantic,150,0.96,1.0,5.526666666666666,5.0,62.973333333333336,0.04
dev,10,10,online,structural,150,0.9666666666666668,1.0,4.36,3.0,61.48,0.0333333333333333
dev,10,10,semantic_only,all,600,0.8733333333333333,0.9016666666666666,3.434380776340111,3.0,12.745,0.0
dev,10,10,semantic_only,multi-hop,300,0.88,0.9033333333333332,3.5867158671586714,3.0,12.636666666666668,0.0
dev,10,10,semantic_only,semantic,150,0.9733333333333334,0.9866666666666668,2.554054054054054,2.0,13.213333333333331,0.0
dev,10,10,semantic_only,structural,150,0.76,0.8133333333333334,4.163934426229508,3.0,12.493333333333334,0.0
dev,10,10,structure,all,600,0.8983333333333333,0.905,3.500920810313076,3.0,12.881666666666666,0.0
dev,10,10,structure,multi-hop,300,0.8966666666666666,0.9033333333333332,3.5424354243542435,3.0,12.79,0.0
dev,10,10,structure,semantic,150,0.9866666666666668,0.9866666666666668,3.3986486486486487,4.0,13.333333333333334,0.0
dev,10,10,structure,structural,150,0.8133333333333334,0.8266666666666667,3.532258064516129,3.0,12.613333333333332,0.0
dev,10,10,two_hop,all,600,0.9283333333333332,1.0,5.718333333333334,4.0,62.88,0.0
dev,10,10,two_hop,multi-hop,300,0.9266666666666666,1.0,6.05,4.0,63.53333333333333,0.0
dev,10,10,two_hop,semantic,150,0.9533333333333334,1.0,4.9,4.0,62.973333333333336,0.0
dev,10,10,two_hop,structural,150,0.9066666666666666,1.0,5.873333333333333,4.0,61.48,0.0
dev,10,16,cosine,all,600,0.9083333333333332,1.0,13.755,3.0,1222.0,0.0
dev,10,16,cosine,multi-hop,300,0.9066666666666666,1.0,13.59,3.0,1222.0,0.0
dev,10,16,cosine,semantic,150,0.98,1.0,3.52,2.0,1222.0,0.0
dev,10,16,cosine,structural,150,0.84,1.0,24.32,4.0,1222.0,0.0
dev,10,16,offline,all,600,0.9966666666666668,1.0,4.58,4.0,62.88,0.0
dev,10,16,offline,multi-hop,300,1.0,1.0,4.376666666666667,4.0,63.53333333333333,0.0
dev,10,16,offline,semantic,150,0.9933333333333332,1.0,5.866666666666666,5.0,62.973333333333336,0.0
dev,10,16,offline,structural,150,0.9933333333333332,1.0,3.7,3.0,61.48,0.0
dev,10,16,online,all,600,0.9966666666666668,1.0,4.578333333333333,4.0,62.88,0.0033333333333333
dev,10,16,online,multi-hop,300,1.0,1.0,4.383333333333334,4.0,63.53333333333333,0.0
dev,10,16,online,semantic,150,0.9933333333333332,1.0,5.82,5.0,62.973333333333336,0.0066666666666666
dev,10,16,online,structural,150,0.9933333333333332,1.0,3.7266666666666666,3.0,61.48,0.0066666666666666
dev,10,16,semantic_only,all,600,0.895,0.9016666666666666,3.434380776340111,3.0,12.745,0.0
dev,10,16,semantic_only,multi-hop,300,0.8933333333333333,0.9033333333333332,3.5867158671586714,3.0,12.636666666666668,0.0
dev,10,16,semantic_only,semantic,150,0.9866666666666668,0.9866666666666668,2.554054054054054,2.0,13.213333333333331,0.0
dev,10,16,semantic_only,structural,150,0.8066666666666666,0.8133333333333334,4.163934426229508,3.0,12.493333333333334,0.0
dev,10,16,structure,all,600,0.905,0.905,3.500920810313076,3.0,12.881666666666666,0.0
dev,10,16,structure,multi-hop,300,0.9033333333333332,0.9033333333333332,3.5424354243542435,3.0,12.79,0.0
dev,10,16,structure,semantic,150,0.9866666666666668,0.9866666666666668,3.3986486486486487,4.0,13.333333333333334,0.0
dev,10,16,structure,structural,150,0.8266666666666667,0.8266666666666667,3.532258064516129,3.0,12.613333333333332,0.0
dev,10,16,two_hop,all,600,0.965,1.0,5.718333333333334,4.0,62.88,0.0
dev,10,16,two_hop,multi-hop,300,0.9566666666666668,1.0,6.05,4.0,63.53333333333333,0.0
dev,10,16,two_hop,semantic,150,0.9866666666666668,1.0,4.9,4.0,62.973333333333336,0.0
dev,10,16,two_hop,structural,150,0.96,1.0,5.873333333333333,4.0,61.48,0.0
dev,15,6,cosine,all,600,0.7833333333333333,1.0,13.755,3.0,1222.0,0.0
dev,15,6,cosine,multi-hop,300,0.77,1.0,13.59,3.0,1222.0,0.0
dev,15,6,cosine,semantic,150,0.9333333333333332,1.0,3.52,2.0,1222.0,0.0
dev,15,6,cosine,structural,150,0.66,1.0,24.32,4.0,1222.0,0.0
dev,15,6,offline,all,600,0.8066666666666666,1.0,4.526666666666666,4.0,132.71333333333334,0.0
dev,15,6,offline,multi-hop,300,0.8233333333333334,1.0,4.343333333333334,4.0,133.99666666666667,0.0
dev,15,6,offline,semantic,150,0.68,1.0,5.786666666666667,5.0,131.42666666666668,0.0
dev,15,6,offline,structural,150,0.9,1.0,3.633333333333333,3.0,131.43333333333334,0.0
dev,15,6,online,all,600,0.7983333333333333,1.0,4.955,4.0,132.71333333333334,0.2016666666666666
dev,15,6,online,multi-hop,300,0.8066666666666666,1.0,5.116666666666666,4.0,133.99666666666667,0.1933333333333333
dev,15,6,online,semantic,150,0.7466666666666667,1.0,5.26,5.0,131.42666666666668,0.2533333333333333
dev,15,6,online,structural,150,0.8333333333333334,1.0,4.326666666666667,3.0,131.43333333333334,0.1666666666666666
dev,15,6,semantic_only,all,600,0.7833333333333333,0.92,3.7028985507246377,3.0,19.436666666666667,0.0
dev,15,6,semantic_only,multi-hop,300,0.77,0.92,3.8659420289855073,3.0,19.216666666666665,0.0
dev,15,6,semantic_only,semantic,150,0.9333333333333332,0.9866666666666668,2.581081081081081,2.0,20.19333333333333,0.0
dev,15,6,semantic_only,structural,150,0.66,0.8533333333333334,4.6484375,3.0,19.12,0.0
dev,15,6,structure,all,600,0.8666666666666667,0.9216666666666666,3.602169981916817,3.0,19.55666666666667,0.0
dev,15,6,structure,multi-hop,300,0.8566666666666667,0.92,3.652173913043478,3.0,19.346666666666668,0.0
dev,15,6,structure,semantic,150,0.98,0.9866666666666668,3.418918918918919,4.0,20.30666666666667,0.0
dev,15,6,structure,structural,150,0.7733333333333333,0.86,3.705426356589147,3.0,19.226666666666667,0.0
dev,15,6,two_hop,all,600,0.7816666666666666,1.0,5.585,4.0,132.71333333333334,0.0
dev,15,6,two_hop,multi-hop,300,0.7866666666666666,1.0,6.116666666666666,4.0,133.99666666666667,0.0
dev,15,6,two_hop,semantic,150,0.8,1.0,4.806666666666667,4.0,131.42666666666668,0.0
dev,15,6,two_hop,structural,150,0.7533333333333333,1.0,5.3,4.0,131.43333333333334,0.0
dev,15,10,cosine,all,600,0.8733333333333333,1.0,13.755,3.0,1222.0,0.0
dev,15,10,cosine,multi-hop,300,0.88,1.0,13.59,3.0,1222.0,0.0
dev,15,10,cosine,semantic,150,0.9733333333333334,1.0,3.52,2.0,1222.0,0.0
dev,15,10,cosine,structural,150,0.76,1.0,24.32,4.0,1222.0,0.0
dev,15,10,offline,all,600,0.9766666666666668,1.0,4.526666666666666,4.0,132.71333333333334,0.0
dev,15,10,offline,multi-hop,300,0.9766666666666668,1.0,4.343333333333334,4.0,133.99666666666667,0.0
dev,15,10,offline,semantic,150,0.9666666666666668,1.0,5.786666666666667,5.0,131.42666666666668,0.0
dev,15,10,offline,structural,150,0.9866666666666668,1.0,3.633333333333333,3.0,131.43333333333334,0.0
dev,15,10,online,all,600,0.9766666666666668,1.0,4.495,4.0,132.71333333333334,0.0233333333333333
dev,15,10,online,multi-hop,300,0.9766666666666668,1.0,4.3133333333333335,4.0,133.99666666666667,0.0233333333333333
dev,15,10,online,semantic,150,0.9666666666666668,1.0,5.653333333333333,5.0,131.42666666666668,0.0333333333333333
dev,15,10,online,structural,150,0.9866666666666668,1.0,3.7,3.0,131.43333333333334,0.0133333333333333
